"ano","product","idGuest","convidado","total"
2006,"nerdcast",1212122462,"Carlos Voltor",30
2006,"nerdcast",3515,"JP",12
2006,"nerdcast",3244,"Bluehand",10
2006,"nerdcast",274,"Tucano",9
2006,"nerdcast",2595,"Eduardo Spohr",5
2006,"nerdcast",1212123572,"Lady Lark",3
2006,"nerdcast",2002,"Portuguesa",3
2006,"nerdcast",2003,"Sra. Jovem Nerd",3
2006,"nerdcast",3448,"Dubox",2
2006,"nerdcast",3508,"Guga Ferrari",2
2006,"nerdcast",1212122464,"Sr.K",2
2006,"nerdcast",1212123573,"Amigo Imaginário",1
2006,"nerdcast",1212138671,"Lyna",1
2007,"nerdcast",274,"Tucano",20
2007,"nerdcast",3515,"JP",14
2007,"nerdcast",1212122462,"Carlos Voltor",13
2007,"nerdcast",1212122464,"Sr.K",11
2007,"nerdcast",3508,"Guga Ferrari",8
2007,"nerdcast",3244,"Bluehand",6
2007,"nerdcast",2595,"Eduardo Spohr",6
2007,"nerdcast",2003,"Sra. Jovem Nerd",6
2007,"nerdcast",2002,"Portuguesa",4
2007,"nerdcast",1212122465,"Afonso 3d",3
2007,"nerdcast",1212123573,"Amigo Imaginário",3
2007,"nerdcast",1212123575,"Anderson Argentoni",3
2007,"nerdcast",1212123574,"Henrique Granado",3
2007,"nerdcast",1212123502,"Borbs",2
2007,"nerdcast",3325,"Carlos Merigo",2
2007,"nerdcast",1212138693,"Baunilha",1
2007,"nerdcast",1212123579,"Bia Kunze",1
2007,"nerdcast",313,"Cris Dias",1
2007,"nerdcast",1212138697,"Débora Otero",1
2007,"nerdcast",1212123334,"Edney Souza",1
2007,"nerdcast",1212138690,"Erick Carvalho",1
2007,"nerdcast",1212123576,"Gabriel Cruz",1
2007,"nerdcast",1212138710,"Garcia Júnior",1
2007,"nerdcast",1212138695,"Guilherme Zaiden",1
2007,"nerdcast",1212138711,"Milhem Cortaz",1
2007,"nerdcast",1212138672,"Nelson Machado",1
2007,"nerdcast",309,"Nick Ellis",1
2007,"nerdcast",1212138696,"Patrícia",1
2007,"nerdcast",1212123577,"Pollar",1
2007,"nerdcast",1212123578,"Rafael Poggi",1
2007,"nerdcast",1212123226,"Rex",1
2007,"nerdcast",1212138704,"Vinícius Schiavini",1
2008,"nerdcast",274,"Tucano",21
2008,"nerdcast",3244,"Bluehand",11
2008,"nerdcast",1212122462,"Carlos Voltor",10
2008,"nerdcast",1212122464,"Sr.K",8
2008,"nerdcast",2595,"Eduardo Spohr",7
2008,"nerdcast",3508,"Guga Ferrari",7
2008,"nerdcast",3515,"JP",7
2008,"nerdcast",2002,"Portuguesa",5
2008,"nerdcast",2003,"Sra. Jovem Nerd",5
2008,"nerdcast",1212123334,"Edney Souza",3
2008,"nerdcast",1212122799,"Fabio Yabu",3
2008,"nerdcast",1212122465,"Afonso 3d",2
2008,"nerdcast",326,"Guilherme Briggs",2
2008,"nerdcast",1212123033,"Marcelo Forlani",2
2008,"nerdcast",309,"Nick Ellis",2
2008,"nerdcast",1212123573,"Amigo Imaginário",1
2008,"nerdcast",1212123575,"Anderson Argentoni",1
2008,"nerdcast",3448,"Dubox",1
2008,"nerdcast",1212138720,"Fabiano Neme",1
2008,"nerdcast",5034,"Jurandir Filho",1
2008,"nerdcast",1212123577,"Pollar",1
2008,"nerdcast",1212138704,"Vinícius Schiavini",1
2009,"nerdcast",274,"Tucano",27
2009,"nerdcast",2595,"Eduardo Spohr",24
2009,"nerdcast",3515,"JP",16
2009,"nerdcast",3244,"Bluehand",15
2009,"nerdcast",1212122462,"Carlos Voltor",10
2009,"nerdcast",3508,"Guga Ferrari",7
2009,"nerdcast",2003,"Sra. Jovem Nerd",7
2009,"nerdcast",2002,"Portuguesa",6
2009,"nerdcast",1212122464,"Sr.K",6
2009,"nerdcast",1212122799,"Fabio Yabu",4
2009,"nerdcast",5035,"Maurício Saldanha",4
2009,"nerdcast",309,"Nick Ellis",4
2009,"nerdcast",326,"Guilherme Briggs",3
2009,"nerdcast",1212122465,"Afonso 3d",1
2009,"nerdcast",3662,"Android",1
2009,"nerdcast",1212123502,"Borbs",1
2009,"nerdcast",3325,"Carlos Merigo",1
2009,"nerdcast",313,"Cris Dias",1
2009,"nerdcast",1212125928,"Ken Fujioka",1
2009,"nerdcast",1212123033,"Marcelo Forlani",1
2009,"nerdcast",1212126499,"Muniz Neto",1
2009,"nerdcast",1212123226,"Rex",1
2010,"empreendedor",4877,"Marco Gomes",1
2010,"empreendedor",1212123647,"Rogério Bonfim",1
2010,"nerdcast",274,"Tucano",20
2010,"nerdcast",2595,"Eduardo Spohr",18
2010,"nerdcast",3515,"JP",16
2010,"nerdcast",1212122462,"Carlos Voltor",11
2010,"nerdcast",309,"Nick Ellis",9
2010,"nerdcast",3508,"Guga Ferrari",6
2010,"nerdcast",2002,"Portuguesa",6
2010,"nerdcast",3662,"Android",5
2010,"nerdcast",3244,"Bluehand",5
2010,"nerdcast",313,"Cris Dias",5
2010,"nerdcast",1212122846,"Jonny Ken",5
2010,"nerdcast",2003,"Sra. Jovem Nerd",5
2010,"nerdcast",1212122465,"Afonso 3d",4
2010,"nerdcast",1212123573,"Amigo Imaginário",4
2010,"nerdcast",1212122464,"Sr.K",4
2010,"nerdcast",1212122799,"Fabio Yabu",3
2010,"nerdcast",1212123226,"Rex",3
2010,"nerdcast",326,"Guilherme Briggs",2
2010,"nerdcast",1212123574,"Henrique Granado",2
2010,"nerdcast",4877,"Marco Gomes",2
2010,"nerdcast",1212123648,"Alexandre Inagaki",1
2010,"nerdcast",3641,"Almôndega",1
2010,"nerdcast",3448,"Dubox",1
2010,"nerdcast",1212122798,"Francine Gladulich",1
2010,"nerdcast",1212122317,"Gaveta",1
2010,"nerdcast",1212123618,"Gustavo Guanabara",1
2010,"nerdcast",1212128349,"Irado",1
2010,"nerdcast",5035,"Maurício Saldanha",1
2010,"nerdcast",1212123647,"Rogério Bonfim",1
2011,"",326,"Guilherme Briggs",1
2011,"empreendedor",4877,"Marco Gomes",1
2011,"nerdcast",3244,"Bluehand",22
2011,"nerdcast",2595,"Eduardo Spohr",17
2011,"nerdcast",3515,"JP",17
2011,"nerdcast",274,"Tucano",17
2011,"nerdcast",1212122462,"Carlos Voltor",10
2011,"nerdcast",1212122846,"Jonny Ken",7
2011,"nerdcast",2002,"Portuguesa",6
2011,"nerdcast",2003,"Sra. Jovem Nerd",6
2011,"nerdcast",1212122465,"Afonso 3d",5
2011,"nerdcast",3508,"Guga Ferrari",5
2011,"nerdcast",1212122464,"Sr.K",4
2011,"nerdcast",1212122795,"Affonso Solano",3
2011,"nerdcast",3662,"Android",3
2011,"nerdcast",1212122862,"Atila",3
2011,"nerdcast",1212122796,"Beto Estrada",3
2011,"nerdcast",1212122797,"Diogo Braga",3
2011,"nerdcast",1212122799,"Fabio Yabu",3
2011,"nerdcast",326,"Guilherme Briggs",3
2011,"nerdcast",1212123573,"Amigo Imaginário",2
2011,"nerdcast",4877,"Marco Gomes",2
2011,"nerdcast",309,"Nick Ellis",2
2011,"nerdcast",1212123226,"Rex",2
2011,"nerdcast",1212123648,"Alexandre Inagaki",1
2011,"nerdcast",1212123579,"Bia Kunze",1
2011,"nerdcast",3325,"Carlos Merigo",1
2011,"nerdcast",1212122798,"Francine Gladulich",1
2011,"nerdcast",1212123651,"Hell",1
2011,"nerdcast",1212130384,"Lucas Radaelli",1
2011,"nerdcast",1212126369,"Mauricio Cid",1
2012,"empreendedor",4877,"Marco Gomes",1
2012,"nerdcast",274,"Tucano",19
2012,"nerdcast",2595,"Eduardo Spohr",15
2012,"nerdcast",3515,"JP",14
2012,"nerdcast",3244,"Bluehand",13
2012,"nerdcast",1212122795,"Affonso Solano",11
2012,"nerdcast",1212122462,"Carlos Voltor",9
2012,"nerdcast",1212122797,"Diogo Braga",6
2012,"nerdcast",1212122796,"Beto Estrada",5
2012,"nerdcast",3508,"Guga Ferrari",5
2012,"nerdcast",1212122464,"Sr.K",5
2012,"nerdcast",1212122465,"Afonso 3d",4
2012,"nerdcast",3662,"Android",4
2012,"nerdcast",1212122862,"Atila",4
