"tema","idGuest","convidado","total"
"",274,"Tucano",14
"",3515,"JP",9
"",2595,"Eduardo Spohr",8
"",3244,"Bluehand",7
"",1212122795,"Affonso Solano",6
"",1212122796,"Beto Estrada",4
"",1212122797,"Diogo Braga",4
"",309,"Nick Ellis",4
"",326,"Guilherme Briggs",3
"",1212122846,"Jonny Ken",3
"",1212122465,"Afonso 3d",2
"",1212123573,"Amigo Imaginário",2
"",1212122862,"Atila",2
"",1212123579,"Bia Kunze",2
"",1212122463,"Cardoso",2
"",313,"Cris Dias",2
"",3508,"Guga Ferrari",2
"",5034,"Jurandir Filho",2
"",2002,"Portuguesa",2
"",1212122464,"Sr.K",2
"",1212123648,"Alexandre Inagaki",1
"",3662,"Android",1
"",1212123847,"André Souza",1
"",1212123564,"Caio Gomes",1
"",1212122462,"Carlos Voltor",1
"",1212123529,"Cauê Moura",1
"",1212123334,"Edney Souza",1
"",1212125499,"Gabriel Dread",1
"",1212122317,"Gaveta",1
"",1212140265,"Katiucha Barcelos",1
"",1212122669,"Leonel Caldela",1
"",1212130384,"Lucas Radaelli",1
"",1212125950,"Marcela Versiani",1
"",1212123033,"Marcelo Forlani",1
"",4877,"Marco Gomes",1
"",1212126369,"Mauricio Cid",1
"",1212140216,"Monark",1
"",1212123647,"Rogério Bonfim",1
"",2003,"Sra. Jovem Nerd",1
"",1212126050,"Sérgio Sacani",1
"",1212140217,"Vinícios Duarte",1
"",1212143686,"guga",1
"Animação",1212139351,"Pri Ganiko",5
"Animação",274,"Tucano",5
"Animação",3641,"Almôndega",3
"Animação",1212123575,"Anderson Argentoni",3
"Animação",1212141954,"Camila Sousa",3
"Animação",1212122462,"Carlos Voltor",3
"Animação",1212142083,"Gabriel dos Anjos",3
"Animação",1212141845,"Pedro Duarte",3
"Animação",1212142082,"Priscila Queiroz",3
"Animação",1212123573,"Amigo Imaginário",2
"Animação",3508,"Guga Ferrari",2
"Animação",1212137936,"Marcelo Bassoli",2
"Animação",1212141330,"Tayná Garcia",2
"Animação",3662,"Android",1
"Animação",1212122862,"Atila",1
"Animação",1212142100,"Diego Martinez",1
"Animação",3448,"Dubox",1
"Animação",2595,"Eduardo Spohr",1
"Animação",1212122799,"Fabio Yabu",1
"Animação",1212141859,"Gabriel Avila",1
"Animação",1212122317,"Gaveta",1
"Animação",3515,"JP",1
"Animação",1212123577,"Pollar",1
"Animação",1212123226,"Rex",1
"Animação",1212122464,"Sr.K",1
"Artes Marciais",1212139351,"Pri Ganiko",2
"Artes Marciais",1212141954,"Camila Sousa",1
"Artes Marciais",2595,"Eduardo Spohr",1
"Artes Marciais",1212141845,"Pedro Duarte",1
"Artes Marciais",1212122464,"Sr.K",1
"Artes Marciais",1212141330,"Tayná Garcia",1
"Artes Marciais",274,"Tucano",1
"Audio Drama",1212123564,"Caio Gomes",1
"Audio Drama",1212141954,"Camila Sousa",1
"Audio Drama",326,"Guilherme Briggs",1
"Audio Drama",1212122669,"Leonel Caldela",1
"Audio Drama",1212139351,"Pri Ganiko",1
"Audio Drama",1212141330,"Tayná Garcia",1
"Biografia",3515,"JP",4
"Biografia",1212124836,"Guga Mafra",3
"Biografia",309,"Nick Ellis",3
"Biografia",274,"Tucano",3
"Biografia",2595,"Eduardo Spohr",2
"Biografia",1212122799,"Fabio Yabu",2
"Biografia",3508,"Guga Ferrari",2
"Biografia",1212130385,"Paulo Silveira",2
"Biografia",1212141184,"Ale Santos",1
"Biografia",1212139640,"Américo Fazio",1
"Biografia",1212141185,"Andreza Delgado",1
"Biografia",1212137796,"André Breves",1
"Biografia",3244,"Bluehand",1
"Biografia",1212140392,"Bruno Hiago",1
"Biografia",1212123564,"Caio Gomes",1
"Biografia",1212141954,"Camila Sousa",1
"Biografia",1212122462,"Carlos Voltor",1
"Biografia",313,"Cris Dias",1
"Biografia",1212140284,"César Machado",1
"Biografia",1212142928,"Edgar Loja Quebra Galho",1
"Biografia",1212135105,"Fernando Reule",1
"Biografia",1212142927,"Flavia Marcon",1
"Biografia",1212126189,"Flávio Augusto",1
"Biografia",326,"Guilherme Briggs",1
"Biografia",1212122846,"Jonny Ken",1
"Biografia",1212141891,"Leandro Leite Soares",1
"Biografia",1212122952,"Leo Lopes",1
"Biografia",4877,"Marco Gomes",1
"Biografia",1212142902,"Maurício Duboc",1
"Biografia",1212131200,"Maurício Linhares",1
"Biografia",1212142611,"Michel Naslavsky",1
"Biografia",1212139351,"Pri Ganiko",1
"Biografia",1212140285,"Reinaldo José Lopes",1
"Biografia",1212123226,"Rex",1
"Biografia",1212141511,"Ricardo Alexandre",1
"Biografia",1212141282,"Ricardo di Lazzaro Filho",1
"Biografia",1212141330,"Tayná Garcia",1
"Biografia",1212142901,"Teo Scussel",1
"Biografia",1212142118,"Thedy Corrêa",1
"Biografia",1212141033,"Tiago Abravanel",1
"Cinema",1212122462,"Carlos Voltor",56
"Cinema",274,"Tucano",38
