"product","categoria","minDuration","minEpisode","minTitle","maxDuration","maxEpisode","maxTitle","avgDuration"
"caneca-de-mamicas","Caneca de Mamicas",1470,"00","Ó a caneca de cuscuz no sábado da minha mamica aê!",8220,"11","Culpa, fome, desespero e calça apertada",4545
"empreendedor","Empreendedor",1529,"63","Crise: Contingência e defesa",6460,"410","Expresso Empreendedor 4",3062
"extra","Extra",2571,"Oferecido por Participathivos","Vivendo com HIV",5938,"Oferecido por Empréstimo SIM","Reforma, fio terra e a maldita goteira",4016
"ge","GE",2566,"01","Indústrias Superpoderosas",2566,"01","Indústrias Superpoderosas",2566
"generacast","Generacast",3032,"03","Semeando a vida",5480,"01","DNA, ervilhas e Genghis Khan",3562
"halocast","HaloCast",775,"3","HaloCast 3",1081,"1","HaloCast 1",952
"la-do-bunker","Lá do Bunker",1901,"40","Meia-noite te conto",3447,"37","Essencial Extra Plus",2674
"nerdcash","NerdCash",1512,"31","O que esperar de 2021?",4320,"32","GameStop: Ataque aos Titãs",2758
"nerdcast","NerdCast",96,"549 Teaser ","Nerdcast Radio News",12946,"500","O Melhor de 500 Nerdcasts!",5531
"nerdlab","NerdLab",7451,"01","NerdLab Petrobras",7451,"01","NerdLab Petrobras",7451
"nerdtech","NerdTech",1999,"01","Os buracos da tecnologia",5353,"75","CEO´s Excêntricos",3191
"papo-de-parceiro","Papo de Parceiro",1595,"05","Liquidação Fantástica: A tradição que vende muito",2821,"09","Da internet para a estante",2345
"speak-english","Speak English",1871,"47","Pronuncia que eu te escuto 2",6120,"41","Luz, câmera e… inglês!",3115
