"product","categoria","ano","total"
"caneca-de-mamicas","Caneca de Mamicas",2021,26
"empreendedor","Empreendedor",2010,1
"empreendedor","Empreendedor",2011,1
"empreendedor","Empreendedor",2012,1
"empreendedor","Empreendedor",2014,1
"empreendedor","Empreendedor",2015,12
"empreendedor","Empreendedor",2016,12
"empreendedor","Empreendedor",2017,12
"empreendedor","Empreendedor",2018,12
"empreendedor","Empreendedor",2019,12
"empreendedor","Empreendedor",2020,11
"empreendedor","Empreendedor",2021,10
"extra","Extra",2021,5
"ge","GE",2017,1
"generacast","Generacast",2020,3
"generacast","Generacast",2021,4
"halocast","HaloCast",2015,3
"la-do-bunker","Lá do Bunker",2021,13
"nerdcash","NerdCash",2018,6
"nerdcash","NerdCash",2019,12
"nerdcash","NerdCash",2020,12
"nerdcash","NerdCash",2021,10
"nerdcast","NerdCast",2006,46
"nerdcast","NerdCast",2007,50
"nerdcast","NerdCast",2008,51
"nerdcast","NerdCast",2009,55
"nerdcast","NerdCast",2010,50
"nerdcast","NerdCast",2011,50
"nerdcast","NerdCast",2012,51
"nerdcast","NerdCast",2013,53
"nerdcast","NerdCast",2014,50
"nerdcast","NerdCast",2015,51
"nerdcast","NerdCast",2016,52
"nerdcast","NerdCast",2017,52
"nerdcast","NerdCast",2018,53
"nerdcast","NerdCast",2019,53
"nerdcast","NerdCast",2020,51
"nerdcast","NerdCast",2021,44
"nerdlab","NerdLab",2018,1
"nerdtech","NerdTech",2016,10
"nerdtech","NerdTech",2017,12
"nerdtech","NerdTech",2018,12
"nerdtech","NerdTech",2019,12
"nerdtech","NerdTech",2020,12
"nerdtech","NerdTech",2021,10
"papo-de-parceiro","Papo de Parceiro",2021,3
"speak-english","Speak English",2018,11
"speak-english","Speak English",2019,11
"speak-english","Speak English",2020,12
"speak-english","Speak English",2021,10
